Target_genes	SOX9|Average	SRX718108|hESC_derived_pancreatic_cells	SRX4065343|hESC_derived_retinal_cells	SRX4065344|hESC_derived_retinal_cells	SRX4065345|hESC_derived_retinal_cells	SRX4065346|hESC_derived_retinal_cells	SRX4065347|hESC_derived_retinal_cells	SRX4065348|hESC_derived_retinal_cells	SRX768290|HT-29	SRX359919|LoVo	SRX1510444|VCaP	STRING
EMILIN2	43.100000	0	0	0	0	0	0	0	0	307	124	0
TRIM45	43.000000	0	0	0	0	0	0	0	356	0	74	0
STK40	43.000000	0	0	0	0	0	0	0	430	0	0	0
LARP1	43.000000	0	0	0	0	0	0	0	103	327	0	0
EEFSEC	43.000000	0	0	0	0	0	0	0	294	136	0	0
DNAJC11	43.000000	0	0	0	0	0	0	0	430	0	0	0
BLM	43.000000	0	0	0	0	0	0	0	336	0	94	0
ZNF785	42.800000	0	0	0	0	0	0	0	305	123	0	0
PSMD3	42.800000	0	0	0	0	0	0	0	289	139	0	0
OS9	42.800000	0	0	0	0	0	0	0	313	115	0	0
VAMP4	42.700000	0	0	0	0	0	0	0	168	259	0	0
TFCP2	42.700000	0	0	0	0	0	0	0	284	143	0	0
STIL	42.700000	0	0	0	0	0	0	0	367	0	60	0
SEC11A	42.700000	0	0	0	0	0	0	0	241	186	0	0
RGS13	42.700000	0	0	0	0	0	0	0	427	0	0	0
PELATON	42.700000	0	0	0	0	0	0	0	427	0	0	0
NRXN2	42.700000	0	0	0	0	0	0	0	252	0	175	0
NDUFC2-KCTD14	42.700000	0	0	0	0	0	0	0	427	0	0	0
NDUFC2	42.700000	0	0	0	0	0	0	0	427	0	0	0
GSTO2	42.700000	0	0	0	0	0	0	0	321	106	0	0
C16orf95	42.700000	0	0	0	0	0	0	0	296	131	0	0
TMEM267	42.600000	0	0	0	0	0	0	0	259	167	0	0
TMEM208	42.600000	0	0	0	0	0	0	0	426	0	0	0
LRRC29	42.600000	0	0	0	0	0	0	0	426	0	0	0
DRG2	42.600000	0	0	0	0	0	0	0	342	84	0	0
DDX18	42.600000	0	0	0	0	0	0	0	291	135	0	0
TMED2	42.500000	0	0	0	0	0	0	0	425	0	0	0
TBC1D19	42.500000	0	0	0	0	0	0	0	232	193	0	0
SYS1	42.500000	0	0	0	0	0	0	0	287	138	0	0
PLEKHH3	42.500000	0	0	0	0	0	0	0	328	0	97	0
MALL	42.500000	0	0	0	0	0	0	0	425	0	0	0
CNTNAP1	42.500000	0	0	0	0	0	0	0	328	0	97	0
CCR10	42.500000	0	0	0	0	0	0	0	328	0	97	0
ZNF44	42.400000	0	0	0	0	0	0	0	424	0	0	0
PRADC1	42.400000	0	0	0	0	0	0	0	284	140	0	0
PODNL1	42.400000	0	0	0	0	0	0	0	424	0	0	0
NFKBIL1	42.400000	0	0	0	0	0	0	0	288	136	0	0
EHD4	42.400000	0	0	0	0	0	0	0	292	132	0	0
DDX39B	42.400000	0	0	0	0	0	0	0	288	136	0	0
DCAF15	42.400000	0	0	0	0	0	0	0	424	0	0	0
CCT7	42.400000	0	0	0	0	0	0	0	284	140	0	0
ATP6V1G2	42.400000	0	0	0	0	0	0	0	288	136	0	0
SH2B1	42.200000	0	0	0	0	0	0	0	280	142	0	0
PURA	42.200000	0	0	0	0	0	0	0	115	307	0	0
NPR1	42.200000	0	0	0	0	0	0	0	315	107	0	0
ILF2	42.200000	0	0	0	0	0	0	0	315	107	0	0
FBXL19	42.200000	0	0	0	0	0	0	0	318	104	0	0
DCPS	42.200000	0	0	0	0	0	0	0	225	197	0	0
CHRDL2	42.200000	0	0	0	0	0	0	0	0	0	422	0
SRCIN1	42.100000	0	0	0	0	0	0	0	421	0	0	0
MTRR	42.100000	0	0	0	0	0	0	0	421	0	0	0
KNSTRN	42.100000	0	0	0	0	0	0	0	421	0	0	0
HSD17B12	42.100000	0	0	0	0	0	0	0	322	99	0	0
FASTKD3	42.100000	0	0	0	0	0	0	0	421	0	0	0
TEFM	42.000000	0	0	0	0	0	0	0	272	148	0	0
MRPS17	42.000000	0	0	0	0	0	0	0	193	227	0	0
WASHC4	41.900000	0	0	0	0	0	0	0	148	271	0	0
RETSAT	41.900000	0	0	0	0	0	0	0	269	150	0	0
PSMD11	41.900000	0	0	0	0	0	0	0	419	0	0	0
POLR1D	41.900000	0	0	0	0	0	0	0	419	0	0	0
LNX2	41.900000	0	0	0	0	0	0	0	419	0	0	0
ZBTB18	41.800000	0	0	0	0	0	0	0	300	0	118	0
P2RY2	41.800000	0	0	0	0	0	0	0	184	234	0	0
HPS6	41.800000	0	0	0	0	0	0	0	325	93	0	0
GPR137	41.800000	0	0	0	0	0	0	0	265	0	153	0
ASL	41.800000	0	0	0	0	0	0	0	246	106	66	0
ARMH3	41.800000	0	0	0	0	0	0	0	325	93	0	0
WDR34	41.700000	0	0	0	0	0	0	0	247	170	0	0
TAS1R1	41.700000	0	0	0	0	0	0	0	417	0	0	0
SPOP	41.700000	0	0	0	0	0	0	0	136	281	0	0
RSBN1L	41.700000	0	0	0	0	0	0	0	289	128	0	0
POU3F1	41.700000	0	0	0	0	0	0	0	265	0	152	0
NOL9	41.700000	0	0	0	0	0	0	0	417	0	0	0
KCNK4	41.700000	0	0	0	0	0	0	0	264	0	153	0
C10orf143	41.700000	0	0	0	0	0	0	0	292	125	0	0
BCDIN3D	41.700000	0	0	0	0	0	0	0	222	195	0	0
BAD	41.700000	0	0	0	0	0	0	0	264	0	153	0
UBAP2	41.600000	0	0	0	0	0	0	0	324	92	0	0
TAS1R3	41.600000	0	0	0	0	0	0	0	263	0	153	0
KLHL12	41.600000	0	0	0	0	0	0	0	190	226	0	0
KIF15	41.600000	0	0	0	0	0	0	0	313	103	0	0
KIAA1143	41.600000	0	0	0	0	0	0	0	313	103	0	0
INTS11	41.600000	0	0	0	0	0	0	0	263	0	153	0
ESRRG	41.600000	0	0	0	0	0	0	0	251	0	165	0
DRD4	41.600000	156	0	0	0	0	0	0	0	186	74	0
DHDDS	41.600000	0	0	0	0	0	0	0	276	140	0	0
CPTP	41.600000	0	0	0	0	0	0	0	263	0	153	0
POLR2J	41.500000	0	0	0	0	0	0	0	221	194	0	0
NTMT1	41.500000	0	0	0	0	0	0	0	287	128	0	0
NBPF1	41.500000	0	0	0	0	0	0	0	130	285	0	0
ZNF875	41.400000	0	0	0	0	0	0	0	414	0	0	0
PGAM5	41.400000	0	0	0	0	0	0	0	321	93	0	0
OIP5	41.400000	0	0	0	0	0	0	0	76	338	0	0
NUSAP1	41.400000	0	0	0	0	0	0	0	76	338	0	0
LPCAT4	41.400000	0	0	0	0	0	0	0	229	185	0	0
ARL4A	41.400000	0	0	0	0	0	0	0	262	152	0	0
ZWILCH	41.300000	0	0	0	0	0	0	0	191	222	0	0
ZFAT	41.300000	0	0	0	0	0	0	0	413	0	0	0
WDR11	41.300000	0	0	0	0	0	0	0	306	107	0	0
SNAPC5	41.300000	0	0	0	0	0	0	0	191	222	0	0
RPL4	41.300000	0	0	0	0	0	0	0	191	222	0	0
PLS1	41.300000	0	0	0	0	0	0	0	413	0	0	0
EPS8	41.300000	0	0	0	0	0	0	0	254	159	0	0
EIF3E	41.300000	0	0	0	0	0	0	0	179	234	0	0
DIABLO	41.300000	0	0	0	0	0	0	0	177	236	0	0
C1GALT1	41.300000	0	0	0	0	0	0	0	319	94	0	0
SRRM3	41.200000	0	0	0	0	0	0	0	412	0	0	0
RBM15	41.200000	0	0	0	0	0	0	0	316	0	96	0
PAAF1	41.200000	0	0	0	0	0	0	0	233	179	0	0
COA4	41.200000	0	0	0	0	0	0	0	233	179	0	0
ARHGEF7	41.200000	0	0	0	0	0	0	0	305	0	107	0
ZNF513	41.100000	0	0	0	0	0	0	0	411	0	0	0
ZNF296	41.100000	0	0	0	0	0	0	0	411	0	0	0
VIPR1	41.100000	0	0	0	0	0	0	0	228	183	0	0
UBE2F	41.100000	0	0	0	0	0	0	0	411	0	0	0
TYW1	41.100000	0	0	0	0	0	0	0	200	211	0	0
SBDS	41.100000	0	0	0	0	0	0	0	200	211	0	0
RPL27	41.100000	0	0	0	0	0	0	0	272	139	0	0
NSUN4	41.100000	0	0	0	0	0	0	0	280	131	0	0
MYO1G	41.100000	0	0	0	0	0	0	0	130	281	0	0
GEMIN7	41.100000	0	0	0	0	0	0	0	411	0	0	0
ESYT2	41.100000	0	0	0	0	0	0	0	164	247	0	0
CDC73	41.100000	0	0	0	0	0	0	0	300	111	0	0
ACSF3	41.100000	0	0	0	0	0	0	0	411	0	0	0
ZNF408	41.000000	0	0	0	0	0	0	0	168	242	0	0
STOML2	41.000000	0	0	0	0	0	0	0	213	197	0	0
SF3B5	41.000000	0	0	0	0	0	0	0	269	141	0	0
SEPTIN4	41.000000	0	0	0	0	0	0	0	315	0	95	0
RAD54L	41.000000	0	0	0	0	0	0	0	410	0	0	0
PIGO	41.000000	0	0	0	0	0	0	0	213	197	0	0
MTMR4	41.000000	0	0	0	0	0	0	0	315	0	95	0
ARHGAP1	41.000000	0	0	0	0	0	0	0	168	242	0	0
NDUFB3	40.900000	0	0	0	0	0	0	0	132	277	0	0
FAM126B	40.900000	0	0	0	0	0	0	0	132	277	0	0
ATR	40.900000	0	0	0	0	0	0	0	252	157	0	0
TMEM161A	40.800000	0	0	0	0	0	0	0	408	0	0	0
TICRR	40.800000	0	0	0	0	0	0	0	283	125	0	0
QTRT1	40.800000	0	0	0	0	0	0	0	260	148	0	0
PYGO2	40.800000	0	0	0	0	0	0	0	293	115	0	0
PBXIP1	40.800000	0	0	0	0	0	0	0	293	115	0	0
MOB4	40.800000	0	0	0	0	0	0	0	263	145	0	0
LOC101928120	40.800000	0	0	0	0	0	0	0	293	115	0	0
CDC23	40.800000	0	0	0	0	0	0	0	273	135	0	0
ZNF770	40.700000	0	0	0	0	0	0	0	227	180	0	0
TMBIM4	40.700000	0	0	0	0	0	0	0	213	194	0	0
RARG	40.700000	0	0	0	0	0	0	0	142	265	0	0
PCNP	40.700000	0	0	0	0	0	0	0	229	178	0	0
KIF12	40.700000	0	0	0	0	0	0	0	407	0	0	0
CLK1	40.700000	0	0	0	0	0	0	0	94	313	0	0
BCL9	40.700000	0	0	0	0	0	0	0	407	0	0	0
ADIPOR2	40.700000	0	0	0	0	0	0	0	229	178	0	0
TMBIM6	40.600000	0	0	0	0	0	0	0	108	298	0	0
NOL6	40.600000	0	0	0	0	0	0	0	406	0	0	0
DDOST	40.600000	0	0	0	0	0	0	0	406	0	0	0
C1QTNF5	40.600000	0	0	0	0	0	0	0	246	160	0	0
AAR2	40.600000	0	0	0	0	0	0	0	406	0	0	0
WDR81	40.500000	0	0	0	0	0	0	0	208	0	197	0
TLCD2	40.500000	0	0	0	0	0	0	0	208	0	197	0
MAP3K3	40.500000	0	0	0	0	0	0	0	277	0	128	0
H2BC5	40.500000	0	0	0	0	0	0	0	188	217	0	0
H1-4	40.500000	0	0	0	0	0	0	0	188	217	0	0
GLCE	40.500000	0	0	0	0	0	0	0	226	179	0	0
GALK2	40.500000	0	0	0	0	0	0	0	286	119	0	0
EXD2	40.500000	0	0	0	0	0	0	0	299	106	0	0
COPS2	40.500000	0	0	0	0	0	0	0	286	119	0	0
TSACC	40.400000	0	0	0	0	0	0	0	404	0	0	0
TRIM68	40.400000	0	0	0	0	0	0	0	309	0	95	0
POLRMT	40.400000	0	0	0	0	0	0	0	156	0	248	0
NUP93	40.400000	0	0	0	0	0	0	0	275	129	0	0
MBTPS2	40.400000	0	0	0	0	0	0	0	210	194	0	0
FGF22	40.400000	0	0	0	0	0	0	0	156	0	248	0
FAAH	40.400000	0	0	0	0	0	0	0	404	0	0	0
CCT3	40.400000	0	0	0	0	0	0	0	404	0	0	0
BCL2L11	40.400000	0	0	0	0	0	0	0	283	0	121	0
AP2S1	40.400000	0	0	0	0	0	0	0	292	112	0	0
ZC3H10	40.300000	0	0	0	0	0	0	0	241	162	0	0
RPL41	40.300000	0	0	0	0	0	0	0	241	162	0	0
RNFT2	40.300000	0	0	0	0	0	0	0	403	0	0	0
PPIP5K2	40.300000	0	0	0	0	0	0	0	196	207	0	0
ITGA6	40.300000	0	0	0	0	0	0	0	403	0	0	0
GLTP	40.300000	0	0	0	0	0	0	0	281	0	122	0
GIN1	40.300000	0	0	0	0	0	0	0	196	207	0	0
FDXACB1	40.300000	0	0	0	0	0	0	0	250	153	0	0
ETNK1	40.300000	0	0	0	0	0	0	0	243	160	0	0
ESYT1	40.300000	0	0	0	0	0	0	0	241	162	0	0
DENND4A	40.300000	0	0	0	0	0	0	0	146	257	0	0
C12orf49	40.300000	0	0	0	0	0	0	0	403	0	0	0
C11orf1	40.300000	0	0	0	0	0	0	0	250	153	0	0
ALG9	40.300000	0	0	0	0	0	0	0	250	153	0	0
ZNF672	40.200000	0	0	0	0	0	0	0	234	168	0	0
ZDHHC2	40.200000	0	0	0	0	0	0	0	402	0	0	0
THAP9	40.200000	0	0	0	0	0	0	0	231	171	0	0
SEC31A	40.200000	0	0	0	0	0	0	0	231	171	0	0
SARS2	40.200000	0	0	0	0	0	0	0	402	0	0	0
ROBO3	40.200000	0	0	0	0	0	0	0	131	117	154	0
NELFB	40.200000	0	0	0	0	0	0	0	402	0	0	0
MRPS12	40.200000	0	0	0	0	0	0	0	402	0	0	0
MKNK2	40.200000	0	0	0	0	0	0	0	203	0	199	0
CSNK1D	40.200000	0	0	0	0	0	0	0	402	0	0	0
ARHGAP35	40.200000	0	0	0	0	0	0	0	292	110	0	0
TP53INP1	40.100000	0	0	0	0	0	0	0	241	0	160	0
SMIM4	40.100000	0	0	0	0	0	0	0	230	171	0	0
NT5DC2	40.100000	0	0	0	0	0	0	0	230	171	0	0
H4C4	40.100000	0	0	0	0	0	0	0	193	208	0	0
FGF9	40.100000	0	0	0	0	0	0	0	401	0	0	0
FAM133B	40.100000	0	0	0	0	0	0	0	221	180	0	0
CLPB	40.100000	0	0	0	0	0	0	0	303	98	0	0
CEP192	40.100000	0	0	0	0	0	0	0	263	138	0	0
AMACR	40.100000	0	0	0	0	0	0	0	102	299	0	0
PISD	40.000000	0	0	0	0	0	0	0	125	275	0	0
KRR1	40.000000	0	0	0	0	0	0	0	289	111	0	0
DUSP19	40.000000	0	0	0	0	0	0	0	295	105	0	0
DUS2	40.000000	0	0	0	0	0	0	0	225	175	0	0
DPEP2NB	40.000000	0	0	0	0	0	0	0	225	175	0	0
DDX28	40.000000	0	0	0	0	0	0	0	225	175	0	0
ZNF277	39.900000	0	0	0	0	0	0	0	399	0	0	0
TXNIP	39.900000	0	0	0	0	0	0	0	399	0	0	0
PDCD2L	39.900000	0	0	0	0	0	0	0	97	302	0	0
FUT11	39.900000	0	0	0	0	0	0	0	193	206	0	0
DOCK4	39.900000	0	0	0	0	0	0	0	399	0	0	0
CHCHD1	39.900000	0	0	0	0	0	0	0	193	206	0	0
ZNF57	39.800000	0	0	0	0	0	0	0	319	0	79	0
SYNJ2	39.800000	0	0	0	0	0	0	0	398	0	0	0
SLC9A1	39.800000	0	0	0	0	0	0	0	291	107	0	0
PDIK1L	39.800000	0	0	0	0	0	0	0	398	0	0	0
MRPL53	39.800000	0	0	0	0	0	0	0	143	255	0	0
MCCC1	39.800000	0	0	0	0	0	0	0	196	202	0	0
GHITM	39.800000	0	0	0	0	0	0	0	208	190	0	0
ATG14	39.800000	0	0	0	0	0	0	0	398	0	0	0
ADAP1	39.800000	0	0	0	0	0	0	0	252	146	0	0
CAMLG	39.700000	0	0	0	0	0	0	0	397	0	0	0
YWHAQ	39.600000	0	0	0	0	0	0	0	396	0	0	0
TEAD1	39.600000	0	0	0	0	0	0	0	396	0	0	0
TAF12	39.600000	0	0	0	0	0	0	0	299	97	0	0
PTPN5	39.600000	0	0	0	0	0	0	0	0	0	396	0
CRELD2	39.600000	0	0	0	0	0	0	0	207	0	189	0
CCDC142	39.600000	0	0	0	0	0	0	0	141	255	0	0
ALG12	39.600000	0	0	0	0	0	0	0	207	0	189	0
ZNRF3	39.500000	0	0	0	0	0	0	0	395	0	0	0
SERTAD3	39.500000	0	0	0	0	0	0	0	281	0	114	0
PIN1	39.500000	0	0	0	0	0	0	0	264	0	131	0
NUP54	39.500000	0	0	0	0	0	0	0	291	104	0	0
ARHGEF38	39.500000	0	0	0	0	0	0	0	255	140	0	0
TSSC4	39.400000	0	0	0	0	0	0	0	191	203	0	0
TES	39.400000	0	0	0	0	0	0	0	394	0	0	0
DUT	39.400000	0	0	0	0	0	0	0	394	0	0	0
COX5A	39.400000	0	0	0	0	0	0	0	241	153	0	0
VIRMA	39.300000	0	0	0	0	0	0	0	393	0	0	0
TMEM87A	39.300000	0	0	0	0	0	0	0	207	186	0	0
NARS1	39.300000	0	0	0	0	0	0	0	393	0	0	0
NAGK	39.300000	0	0	0	0	0	0	0	116	277	0	0
GUCA2A	39.300000	0	0	0	0	0	0	0	255	138	0	0
GANC	39.300000	0	0	0	0	0	0	0	207	186	0	0
DCP1B	39.300000	0	0	0	0	0	0	0	103	290	0	0
AQR	39.300000	0	0	0	0	0	0	0	393	0	0	0
UBE2I	39.200000	0	0	0	0	0	0	0	392	0	0	0
SKA3	39.200000	0	0	0	0	0	0	0	392	0	0	0
POFUT1	39.200000	0	0	0	0	0	0	0	392	0	0	0
PLAGL2	39.200000	0	0	0	0	0	0	0	392	0	0	0
MRPL57	39.200000	0	0	0	0	0	0	0	392	0	0	0
LBR	39.200000	0	0	0	0	0	0	0	228	0	164	0
FDXR	39.200000	0	0	0	0	0	0	0	392	0	0	0
WDR6	39.100000	0	0	0	0	0	0	0	163	228	0	0
TRMO	39.100000	0	0	0	0	0	0	0	209	182	0	0
TIMM22	39.100000	0	0	0	0	0	0	0	290	101	0	0
SCAMP1	39.100000	0	0	0	0	0	0	0	180	211	0	0
MRPL55	39.100000	0	0	0	0	0	0	0	274	117	0	0
MCM7	39.100000	0	0	0	0	0	0	0	306	85	0	0
FAM118A	39.100000	300	0	0	0	0	0	0	91	0	0	0
C1orf35	39.100000	0	0	0	0	0	0	0	274	117	0	0
AP4M1	39.100000	0	0	0	0	0	0	0	306	85	0	0
TMEM167B	39.000000	0	0	0	0	0	0	0	220	170	0	0
RPS13	39.000000	0	0	0	0	0	0	0	165	225	0	0
NYAP1	39.000000	0	0	0	0	0	0	0	303	87	0	0
GSTT2B	39.000000	0	0	0	0	0	0	0	390	0	0	0
GSTT2	39.000000	0	0	0	0	0	0	0	390	0	0	0
FANCA	39.000000	0	0	0	0	0	0	0	206	184	0	0
DERL1	39.000000	0	0	0	0	0	0	0	390	0	0	0
DDTL	39.000000	0	0	0	0	0	0	0	390	0	0	0
DDT	39.000000	0	0	0	0	0	0	0	390	0	0	0
XPO4	38.900000	0	0	0	0	0	0	0	389	0	0	0
SEMA4B	38.900000	0	0	0	0	0	0	0	122	267	0	0
MPV17L2	38.900000	0	0	0	0	0	0	0	244	0	145	0
ATP5MC2	38.900000	0	0	0	0	0	0	0	181	208	0	0
AKR1A1	38.900000	0	0	0	0	0	0	0	155	234	0	0
AASDH	38.900000	0	0	0	0	0	0	0	141	248	0	0
TOB2	38.800000	0	0	0	0	0	0	0	311	77	0	0
SRSF11	38.800000	0	0	0	0	0	0	0	222	166	0	0
CD46	38.800000	0	0	0	0	0	0	0	260	128	0	0
ZC3HC1	38.700000	0	0	0	0	0	0	0	387	0	0	0
USP30	38.700000	0	0	0	0	0	0	0	207	180	0	0
TMED3	38.700000	0	0	0	0	0	0	0	147	240	0	0
RPL10	38.700000	0	0	0	0	0	0	0	387	0	0	0
POC5	38.700000	0	0	0	0	0	0	0	230	157	0	0
PIH1D1	38.700000	122	0	0	0	0	0	0	134	131	0	0
OR6B2	38.700000	0	0	0	0	0	0	0	387	0	0	0
NDUFA10	38.700000	0	0	0	0	0	0	0	387	0	0	0
KMT2C	38.700000	0	0	0	0	0	0	0	387	0	0	0
GINS1	38.700000	0	0	0	0	0	0	0	251	136	0	0
ALDH16A1	38.700000	122	0	0	0	0	0	0	134	131	0	0
WASF1	38.600000	0	0	0	0	0	0	0	386	0	0	0
VARS2	38.600000	0	0	0	0	0	0	0	271	115	0	0
STARD7	38.600000	0	0	0	0	0	0	0	386	0	0	0
SMDT1	38.600000	0	0	0	0	0	0	0	149	237	0	0
SEMA3B	38.600000	0	0	0	0	0	0	0	386	0	0	0
RUSC2	38.600000	0	0	0	0	0	0	0	386	0	0	0
RASL10A	38.600000	0	0	0	0	0	0	0	0	0	386	0
PHETA2	38.600000	0	0	0	0	0	0	0	149	237	0	0
NAGA	38.600000	0	0	0	0	0	0	0	149	237	0	0
LNPEP	38.600000	0	0	0	0	0	0	0	240	146	0	0
GTF2H4	38.600000	0	0	0	0	0	0	0	271	115	0	0
GATB	38.600000	0	0	0	0	0	0	0	386	0	0	0
GAS2L1	38.600000	0	0	0	0	0	0	0	0	0	386	0
FBN1	38.600000	0	0	0	0	0	0	0	0	0	386	0
CDC40	38.600000	0	0	0	0	0	0	0	386	0	0	0
BORCS6	38.600000	0	0	0	0	0	0	0	164	222	0	0
ADPRHL1	38.600000	0	0	0	0	0	0	0	269	117	0	0
TTC17	38.500000	0	0	0	0	0	0	0	255	130	0	0
TFDP1	38.500000	0	0	0	0	0	0	0	125	260	0	0
SMN2	38.500000	0	0	0	0	0	0	0	270	115	0	0
SMN1	38.500000	0	0	0	0	0	0	0	270	115	0	0
SFSWAP	38.500000	0	0	0	0	0	0	0	268	117	0	0
SFPQ	38.500000	0	0	0	0	0	0	0	385	0	0	0
LRP6	38.500000	0	0	0	0	0	0	0	0	385	0	0
CASZ1	38.500000	0	0	0	0	0	0	0	385	0	0	0
AAAS	38.500000	0	0	0	0	0	0	0	169	216	0	0
SUMF1	38.400000	0	0	0	0	0	0	0	252	132	0	0
SRSF2	38.400000	0	0	0	0	0	0	0	205	179	0	0
RLF	38.400000	0	0	0	0	0	0	0	271	113	0	0
MFSD11	38.400000	0	0	0	0	0	0	0	205	179	0	0
CCDC97	38.400000	0	0	0	0	0	0	0	190	194	0	0
ZNF185	38.300000	0	0	0	0	0	0	0	383	0	0	0
TMEM97	38.300000	0	0	0	0	0	0	0	248	0	135	0
STXBP5	38.300000	0	0	0	0	0	0	0	383	0	0	0
RTN4RL1	38.300000	0	0	0	0	0	0	0	86	149	148	0
RORC	38.300000	0	0	0	0	0	0	0	383	0	0	0
PFDN5	38.300000	0	0	0	0	0	0	0	174	209	0	0
MYG1	38.300000	0	0	0	0	0	0	0	174	209	0	0
MRPL39	38.300000	0	0	0	0	0	0	0	258	125	0	0
DPH1	38.300000	0	0	0	0	0	0	0	86	149	148	0
C2CD4D	38.300000	0	0	0	0	0	0	0	383	0	0	0
TPP1	38.200000	0	0	0	0	0	0	0	143	239	0	0
TOX4	38.200000	0	0	0	0	0	0	0	382	0	0	0
TMEM41A	38.200000	0	0	0	0	0	0	0	382	0	0	0
RAB2B	38.200000	0	0	0	0	0	0	0	382	0	0	0
LFNG	38.200000	0	0	0	0	0	0	0	223	159	0	0
HPS5	38.200000	0	0	0	0	0	0	0	173	209	0	0
GTF2H1	38.200000	0	0	0	0	0	0	0	173	209	0	0
GLIPR1L1	38.200000	0	0	0	0	0	0	0	382	0	0	0
CYLD	38.200000	0	0	0	0	0	0	0	331	0	51	0
CAPS2	38.200000	0	0	0	0	0	0	0	382	0	0	0
BLOC1S6	38.200000	0	0	0	0	0	0	0	193	189	0	0
AMD1	38.200000	0	0	0	0	0	0	0	219	163	0	0
WDR53	38.100000	0	0	0	0	0	0	0	276	105	0	0
TIGD3	38.100000	0	0	0	0	0	0	0	268	0	113	0
NCOA2	38.100000	0	0	0	0	0	0	0	381	0	0	0
MICU2	38.100000	0	0	0	0	0	0	0	217	164	0	0
KIF22	38.100000	0	0	0	0	0	0	0	294	87	0	0
H2BC6	38.100000	0	0	0	0	0	0	0	193	188	0	0
GOLPH3	38.100000	0	0	0	0	0	0	0	169	212	0	0
GNAL	38.100000	0	0	0	0	0	0	0	283	98	0	0
FBXO45	38.100000	0	0	0	0	0	0	0	276	105	0	0
CHMP1B	38.100000	0	0	0	0	0	0	0	283	98	0	0
SRCAP	38.000000	0	0	0	0	0	0	0	0	380	0	0
SNUPN	38.000000	0	0	0	0	0	0	0	224	156	0	0
PLEKHB1	38.000000	0	0	0	0	0	0	0	380	0	0	0
MBNL1	38.000000	0	0	0	0	0	0	0	380	0	0	0
LOC730183	38.000000	0	0	0	0	0	0	0	0	380	0	0
USP21	37.900000	0	0	0	0	0	0	0	117	262	0	0
SSRP1	37.900000	0	0	0	0	0	0	0	379	0	0	0
RNF139	37.900000	0	0	0	0	0	0	0	300	79	0	0
P2RX3	37.900000	0	0	0	0	0	0	0	379	0	0	0
NUP133	37.900000	0	0	0	0	0	0	0	252	127	0	0
NDUFA12	37.900000	0	0	0	0	0	0	0	227	152	0	0
EIF3J	37.900000	0	0	0	0	0	0	0	177	202	0	0
COPS8	37.900000	0	0	0	0	0	0	0	379	0	0	0
CDR2	37.900000	0	0	0	0	0	0	0	379	0	0	0
ASF1B	37.900000	0	0	0	0	0	0	0	200	0	179	0
ACYP2	37.900000	0	0	0	0	0	0	0	159	220	0	0
YIPF3	37.800000	0	0	0	0	0	0	0	172	206	0	0
UBE3B	37.800000	0	0	0	0	0	0	0	103	275	0	0
TTC14	37.800000	0	0	0	0	0	0	0	113	265	0	0
SULT2B1	37.800000	0	0	0	0	0	0	0	378	0	0	0
RMI2	37.800000	0	0	0	0	0	0	0	378	0	0	0
POLR1C	37.800000	0	0	0	0	0	0	0	172	206	0	0
NSA2	37.800000	0	0	0	0	0	0	0	233	145	0	0
NECTIN4	37.800000	0	0	0	0	0	0	0	378	0	0	0
NCBP2AS2	37.800000	0	0	0	0	0	0	0	260	118	0	0
NCBP2	37.800000	0	0	0	0	0	0	0	260	118	0	0
LRRC73	37.800000	0	0	0	0	0	0	0	172	206	0	0
KCTD10	37.800000	0	0	0	0	0	0	0	103	275	0	0
GFM2	37.800000	0	0	0	0	0	0	0	233	145	0	0
DAPK3	37.800000	0	0	0	0	0	0	0	378	0	0	0
CLN5	37.800000	0	0	0	0	0	0	0	265	113	0	0
TRIM2	37.700000	0	0	0	0	0	0	0	99	136	142	0
SCYL3	37.700000	0	0	0	0	0	0	0	208	169	0	0
RSL24D1	37.700000	0	0	0	0	0	0	0	100	277	0	0
PDAP1	37.700000	0	0	0	0	0	0	0	273	104	0	0
NUDT16	37.700000	0	0	0	0	0	0	0	377	0	0	0
MAP2K1	37.700000	0	0	0	0	0	0	0	217	160	0	0
JUP	37.700000	0	0	0	0	0	0	0	377	0	0	0
GNAZ	37.700000	0	0	0	0	0	0	0	276	0	101	0
EIF1	37.700000	0	0	0	0	0	0	0	248	129	0	0
CLTC	37.700000	0	0	0	0	0	0	0	230	147	0	0
BUD31	37.700000	0	0	0	0	0	0	0	273	104	0	0
NDUFA5	37.600000	0	0	0	0	0	0	0	222	154	0	0
GLCCI1	37.600000	0	0	0	0	0	0	0	247	129	0	0
UFC1	37.500000	0	0	0	0	0	0	0	113	262	0	0
TUFM	37.500000	0	0	0	0	0	0	0	233	142	0	0
FOXK2	37.500000	0	0	0	0	0	0	0	375	0	0	0
ERAL1	37.500000	0	0	0	0	0	0	0	375	0	0	0
ZC3H6	37.400000	0	0	0	0	0	0	0	374	0	0	0
SWSAP1	37.400000	0	0	0	0	0	0	0	167	207	0	0
SECISBP2L	37.400000	0	0	0	0	0	0	0	293	81	0	0
KRT19	37.400000	0	0	0	0	0	0	0	374	0	0	0
KRT15	37.400000	0	0	0	0	0	0	0	374	0	0	0
EIF3H	37.400000	0	0	0	0	0	0	0	252	122	0	0
AKAP9	37.400000	0	0	0	0	0	0	0	138	236	0	0
SLC12A6	37.300000	0	0	0	0	0	0	0	207	166	0	0
